r_m,z_m,phi_V,ne_m3,ni_m3
0.04896,0.03125,2.1503e+0,0.0000e+0,0.0000e+0
0.05104,0.03125,2.0946e+0,0.0000e+0,0.0000e+0
0.05312,0.03125,2.0357e+0,0.0000e+0,0.0000e+0
0.05521,0.03125,1.9736e+0,0.0000e+0,0.0000e+0
0.05729,0.03125,1.9087e+0,0.0000e+0,0.0000e+0
0.05937,0.03125,1.8415e+0,0.0000e+0,0.0000e+0
0.06146,0.03125,1.7724e+0,0.0000e+0,0.0000e+0
0.06354,0.03125,1.7013e+0,0.0000e+0,0.0000e+0
0.06563,0.03125,1.6277e+0,0.0000e+0,0.0000e+0
0.06771,0.03125,1.5505e+0,0.0000e+0,0.0000e+0
0.06979,0.03125,1.4694e+0,0.0000e+0,0.0000e+0
0.07187,0.03125,1.3845e+0,0.0000e+0,0.0000e+0
0.07396,0.03125,1.2958e+0,0.0000e+0,0.0000e+0
0.07604,0.03125,1.2035e+0,0.0000e+0,0.0000e+0
0.07813,0.03125,1.1075e+0,0.0000e+0,0.0000e+0
0.08021,0.03125,1.0078e+0,0.0000e+0,0.0000e+0
0.08229,0.03125,9.0463e-1,0.0000e+0,0.0000e+0
0.08438,0.03125,7.9858e-1,8.2936e+9,0.0000e+0
0.08646,0.03125,6.9091e-1,3.7815e+10,0.0000e+0
0.08854,0.03125,5.8514e-1,0.0000e+0,0.0000e+0
0.09062,0.03125,4.7820e-1,0.0000e+0,0.0000e+0
0.09271,0.03125,3.7068e-1,0.0000e+0,0.0000e+0
0.09479,0.03125,2.6331e-1,0.0000e+0,0.0000e+0
0.09688,0.03125,1.5676e-1,0.0000e+0,0.0000e+0
0.09896,0.03125,5.1615e-2,0.0000e+0,0.0000e+0
0.00104,0.03542,3.2162e+0,0.0000e+0,0.0000e+0
0.00313,0.03542,3.2141e+0,0.0000e+0,0.0000e+0
0.00521,0.03542,3.2099e+0,0.0000e+0,0.0000e+0
0.00729,0.03542,3.2034e+0,0.0000e+0,0.0000e+0
0.00937,0.03542,3.1942e+0,0.0000e+0,0.0000e+0
0.01146,0.03542,3.1821e+0,0.0000e+0,0.0000e+0
0.01354,0.03542,3.1665e+0,0.0000e+0,0.0000e+0
0.01563,0.03542,3.1471e+0,0.0000e+0,0.0000e+0
0.01771,0.03542,3.1239e+0,0.0000e+0,0.0000e+0
0.01979,0.03542,3.0971e+0,0.0000e+0,0.0000e+0
0.02187,0.03542,3.0676e+0,0.0000e+0,0.0000e+0
0.02396,0.03542,3.0358e+0,0.0000e+0,0.0000e+0
0.02604,0.03542,3.0015e+0,0.0000e+0,0.0000e+0
0.02813,0.03542,2.9648e+0,0.0000e+0,0.0000e+0
0.03021,0.03542,2.9248e+0,0.0000e+0,0.0000e+0
0.03229,0.03542,2.8793e+0,4.1477e+11,0.0000e+0
0.03438,0.03542,2.8528e+0,3.8730e+10,0.0000e+0
0.03646,0.03542,2.8217e+0,0.0000e+0,0.0000e+0
0.03854,0.03542,2.7805e+0,0.0000e+0,0.0000e+0
0.04063,0.03542,2.7320e+0,0.0000e+0,0.0000e+0
0.04271,0.03542,2.6786e+0,0.0000e+0,0.0000e+0
0.04479,0.03542,2.6219e+0,0.0000e+0,0.0000e+0
0.04688,0.03542,2.5631e+0,0.0000e+0,0.0000e+0
0.04896,0.03542,2.5042e+0,0.0000e+0,0.0000e+0
